,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Jose,US,85.1,smoke,37.3394,-121.895,The Westin San Jose
4,Butaritari,KI,82.53,broken clouds,3.0707,172.7902,Isles Sunset Lodge
7,Caravelas,BR,73.99,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
8,Bengkulu,ID,74.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
10,Atuona,PF,77.05,clear sky,-9.8,-139.0333,Villa Enata
11,Assiniboia,CA,73.22,broken clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
13,Guerrero Negro,MX,86.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
14,Barranca,PE,62.29,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
15,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
17,Shimoda,JP,69.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
19,Khipro,PK,79.29,few clouds,25.8285,69.3772,Wali M Dars Hottle
23,Uch,FR,63.03,overcast clouds,45.3192,-0.9345,Tour Hôtel
24,Hilo,US,85.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
29,Mackay,AU,69.67,overcast clouds,-21.15,149.2,International Lodge Motel
32,Canton,CN,82.35,scattered clouds,23.1167,113.25,Shangjiuwan Hotel
38,Jacareacanga,BR,84.69,broken clouds,-6.2222,-57.7528,Casa do Ian😎
40,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
41,Misratah,LY,79.79,overcast clouds,32.3754,15.0925,Almasa Hotel
42,Amahai,ID,77.54,light rain,-3.3333,128.9167,HOTEL ISABELA
43,Bethel,US,67.69,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
45,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
46,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
47,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Hithadhoo,MV,79.45,moderate rain,-0.6,73.0833,Scoop Guest House
51,Bodri,IN,72.45,scattered clouds,23.1667,81.4333,Shivam Ràjpút
55,Port Alfred,ZA,64.18,light rain,-33.5906,26.891,The Halyards Hotel
57,Mitzic,GA,67.75,moderate rain,0.7821,11.549,Motel Emys
58,Ponta Delgada,PT,68.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
61,Vaini,TO,74.35,light rain,-21.2,-175.2,Keleti Beach Resort
64,Mbala,ZM,66.2,scattered clouds,-8.8402,31.3659,Lake Chila Lodge
65,Gigmoto,PH,79.79,overcast clouds,13.7796,124.39,Cj's Travellers Inn
66,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
67,Jiaojiang,CN,73.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
71,Cidreira,BR,61.59,overcast clouds,-30.1811,-50.2056,Hotel Castelo
73,Rio Grande,BR,68.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
74,Tete,MZ,89.69,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
77,Rikitea,PF,69.6,broken clouds,-23.1203,-134.9692,People ThankYou
80,Sandpoint,US,85.86,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
88,Port Elizabeth,ZA,66.09,mist,-33.918,25.5701,39 On Nile Guest House
89,Darnah,LY,83.48,few clouds,32.767,22.6367,فندق الفردوس
95,Eyl,SO,79.03,overcast clouds,7.9803,49.8164,Amiin Hotel
97,Emerald,AU,66.34,overcast clouds,-23.5333,148.1667,The Irish Village
98,Cockburn Town,TC,82.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
99,Vila Franca Do Campo,PT,69.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
100,Baghdad,IQ,71.51,clear sky,33.3406,44.4009,Baghdad Hotel
103,Seoul,KR,62.04,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
105,Biu,NG,68.36,broken clouds,10.6129,12.1946,Emir's Palace
106,Naze,JP,72.52,clear sky,28.3667,129.4833,Shishime Hotel
107,Kavaratti,IN,81.41,broken clouds,10.5669,72.642,Green leaf
108,Georgetown,MY,79.9,thunderstorm,5.4112,100.3354,Cititel Penang
109,Florence,IT,64.54,scattered clouds,43.7667,11.25,Hotel Nuova Italia
113,Padang,ID,75.33,broken clouds,-0.9492,100.3543,Mercure Padang
114,Karaton,ID,72.99,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
115,Sao Jose Da Coroa Grande,BR,74.26,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
116,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
117,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
118,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
119,Aksu,CN,66.67,clear sky,41.1231,80.2644,Pudong Holiday Hotel
120,Marawi,PH,69.8,overcast clouds,7.9986,124.2928,Derogongan Residence
121,Khowst,AF,69.53,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
122,Cayhagan,PH,77.58,overcast clouds,9.6697,122.4256,Melrose Beach Resort
123,Tautira,PF,77.38,light rain,-17.7333,-149.15,Pension Oaoa
124,Soe,ID,67.28,scattered clouds,-9.8607,124.284,Dena Hotel
125,Carnarvon,AU,65.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
126,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
134,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
135,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
140,Kieta,PG,81.28,light rain,-6.2167,155.6333,Uruna Bay Retreat
142,Lazaro Cardenas,MX,82.85,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
145,Alta Floresta,BR,76.51,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
147,Florianopolis,BR,69.03,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
