,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,54.01,78,100,16.11,overcast clouds
1,San Jose,US,37.3394,-121.895,85.1,51,40,10.36,smoke
2,Severo-Kurilsk,RU,50.6789,156.125,50.13,75,14,16.8,few clouds
3,Busselton,AU,-33.65,115.3333,49.8,92,23,8.5,few clouds
4,Butaritari,KI,3.0707,172.7902,82.53,73,52,17.92,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,52.48,92,24,3.42,few clouds
6,Kropachevo,RU,55.0112,57.9896,30.33,85,87,3.71,overcast clouds
7,Caravelas,BR,-17.7125,-39.2481,73.99,84,0,9.24,clear sky
8,Bengkulu,ID,-3.8004,102.2655,74.86,89,87,3.8,overcast clouds
9,Oriximina,BR,-1.7656,-55.8661,92.62,41,26,4.72,scattered clouds
10,Atuona,PF,-9.8,-139.0333,77.05,76,1,17.29,clear sky
11,Assiniboia,CA,49.6334,-105.9845,73.22,25,73,13.8,broken clouds
12,Rocha,UY,-34.4833,-54.3333,54.0,94,0,6.31,clear sky
13,Guerrero Negro,MX,27.9769,-114.0611,86.4,50,7,8.9,clear sky
14,Barranca,PE,-10.75,-77.7667,62.29,79,88,10.71,overcast clouds
15,Buraydah,SA,26.326,43.975,77.45,18,0,3.09,clear sky
16,Luderitz,NA,-26.6481,15.1594,56.34,68,0,12.17,clear sky
17,Shimoda,JP,34.6667,138.95,69.1,74,13,13.65,few clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,76,75,29.93,light rain
19,Khipro,PK,25.8285,69.3772,79.29,70,11,11.56,few clouds
20,Lesnyye Polyany,RU,55.9667,37.8667,45.75,89,100,8.99,overcast clouds
21,Albany,US,42.6001,-73.9662,63.64,71,56,6.87,broken clouds
22,Zhezkazgan,KZ,47.8043,67.7144,47.16,66,8,7.67,clear sky
23,Uch,FR,45.3192,-0.9345,63.03,89,100,18.57,overcast clouds
24,Hilo,US,19.7297,-155.09,85.28,82,100,8.05,moderate rain
25,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,25.32,light snow
26,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,43,11.14,scattered clouds
27,Bluff,NZ,-46.6,168.3333,53.87,85,71,2.73,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,58.12,78,0,3.44,clear sky
29,Mackay,AU,-21.15,149.2,69.67,83,100,6.29,overcast clouds
30,Norman Wells,CA,65.282,-126.8329,46.44,66,20,11.5,few clouds
31,Clyde River,CA,70.4692,-68.5914,34.03,80,20,5.75,few clouds
32,Canton,CN,23.1167,113.25,82.35,67,37,5.1,scattered clouds
33,Saskylakh,RU,71.9167,114.0833,21.87,97,85,6.08,overcast clouds
34,Fairbanks,US,64.8378,-147.7164,40.6,92,100,0.0,mist
35,Nanortalik,GL,60.1432,-45.2371,43.43,99,97,6.4,overcast clouds
36,Nanyuki,KE,0.0167,37.0728,57.69,68,3,11.05,clear sky
37,Beisfjord,NO,68.3751,17.5988,46.45,79,23,7.58,few clouds
38,Jacareacanga,BR,-6.2222,-57.7528,84.69,46,52,1.36,broken clouds
39,New Norfolk,AU,-42.7826,147.0587,51.93,84,100,0.72,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,75,8.05,broken clouds
41,Misratah,LY,32.3754,15.0925,79.79,74,99,10.67,overcast clouds
42,Amahai,ID,-3.3333,128.9167,77.54,83,98,4.41,light rain
43,Bethel,US,41.3712,-73.414,67.69,65,100,6.91,overcast clouds
44,Oktyabrskiy,RU,54.4815,53.471,38.71,68,100,5.06,overcast clouds
45,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,6.91,scattered clouds
46,Nouadhibou,MR,20.931,-17.0347,78.78,78,67,11.5,broken clouds
47,Kapaa,US,22.0752,-159.319,84.52,67,20,11.5,few clouds
48,Hithadhoo,MV,-0.6,73.0833,79.45,80,100,14.18,moderate rain
49,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,11.5,broken clouds
50,Cherskiy,RU,68.75,161.3,28.02,66,9,3.53,clear sky
51,Bodri,IN,23.1667,81.4333,72.45,87,26,3.13,scattered clouds
52,Qaanaaq,GL,77.484,-69.3632,31.23,99,99,1.45,light snow
53,Punta Arenas,CL,-53.15,-70.9167,50.11,57,40,27.63,scattered clouds
54,Aklavik,CA,68.2191,-135.0107,32.47,100,100,17.36,snow
55,Port Alfred,ZA,-33.5906,26.891,64.18,99,100,7.0,light rain
56,Nyazepetrovsk,RU,56.0531,59.6028,18.16,98,100,2.64,overcast clouds
57,Mitzic,GA,0.7821,11.549,67.75,99,100,3.53,moderate rain
58,Ponta Delgada,PT,37.7333,-25.6667,68.5,77,20,5.75,few clouds
59,Saint George,US,37.1041,-113.5841,93.79,23,0,14.97,clear sky
60,Talaya,RU,61.3833,152.75,28.69,88,95,2.19,overcast clouds
61,Vaini,TO,-21.2,-175.2,74.35,85,85,11.81,light rain
62,Ilulissat,GL,69.2167,-51.1,42.82,87,75,8.05,broken clouds
63,Mishan,CN,45.55,131.8833,53.49,89,0,3.0,clear sky
64,Mbala,ZM,-8.8402,31.3659,66.2,43,25,9.01,scattered clouds
65,Gigmoto,PH,13.7796,124.39,79.79,86,100,0.67,overcast clouds
66,Avarua,CK,-21.2078,-159.775,78.85,89,89,5.75,overcast clouds
67,Jiaojiang,CN,28.6803,121.4428,73.0,92,100,3.58,overcast clouds
68,Rognan,NO,67.0953,15.3878,51.06,87,41,7.99,scattered clouds
69,Provideniya,RU,64.3833,-173.3,39.31,81,100,8.95,overcast clouds
70,Ayan,RU,56.45,138.1667,38.55,82,100,8.66,overcast clouds
71,Cidreira,BR,-30.1811,-50.2056,61.59,88,100,13.09,overcast clouds
72,Brae,GB,60.3964,-1.353,51.03,90,66,13.33,broken clouds
73,Rio Grande,BR,-32.035,-52.0986,68.11,89,0,11.63,clear sky
74,Tete,MZ,-16.1564,33.5867,89.69,35,40,9.22,scattered clouds
75,Senneterre,CA,48.3835,-77.2328,47.34,94,100,10.4,overcast clouds
76,Lasa,IT,46.6166,10.7002,49.08,78,19,1.74,few clouds
77,Rikitea,PF,-23.1203,-134.9692,69.6,59,66,9.64,broken clouds
78,Sitka,US,57.0531,-135.33,55.29,76,100,3.44,overcast clouds
79,Tuatapere,NZ,-46.1333,167.6833,58.75,63,47,1.74,scattered clouds
80,Sandpoint,US,48.2766,-116.5533,85.86,27,0,6.91,clear sky
81,Mataura,NZ,-46.1927,168.8643,58.35,71,38,3.87,scattered clouds
82,Lebu,CL,-37.6167,-73.65,53.74,73,0,17.13,clear sky
83,Bukachacha,RU,52.9833,116.9167,29.12,66,59,2.95,broken clouds
84,Methven,NZ,-43.6333,171.65,58.01,69,96,3.53,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,36.28,99,100,12.84,light rain
86,Gari,RU,59.4307,62.3497,23.2,90,47,5.41,scattered clouds
87,Tasiilaq,GL,65.6145,-37.6368,37.56,98,100,1.92,overcast clouds
88,Port Elizabeth,ZA,-33.918,25.5701,66.09,97,75,17.27,mist
89,Darnah,LY,32.767,22.6367,83.48,43,20,9.28,few clouds
90,Codrington,AU,-38.2667,141.9667,52.14,84,100,11.72,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,57.11,73,0,14.0,clear sky
92,Geraldton,AU,-28.7667,114.6,46.81,93,0,5.75,clear sky
93,Pangnirtung,CA,66.1451,-65.7125,39.2,56,20,11.5,few clouds
94,Vicuna,CL,-30.0319,-70.7081,49.73,50,86,0.6,overcast clouds
95,Eyl,SO,7.9803,49.8164,79.03,76,98,15.52,overcast clouds
96,Hobart,AU,-42.8794,147.3294,52.27,92,75,8.05,broken clouds
97,Emerald,AU,-23.5333,148.1667,66.34,88,100,7.67,overcast clouds
98,Cockburn Town,TC,21.4612,-71.1419,82.56,81,31,18.48,scattered clouds
99,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,79,21,9.93,few clouds
100,Baghdad,IQ,33.3406,44.4009,71.51,23,0,6.91,clear sky
101,Seynod,FR,45.8855,6.0883,52.48,82,100,8.05,light rain
102,Saint-Francois,FR,46.4154,3.9054,53.04,87,75,4.61,light rain
103,Seoul,KR,37.5683,126.9778,62.04,97,0,3.44,clear sky
